ID,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,city,last_trip_date,phone,signup_date,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct,churn
20,2.53,3,,1,Winterfell,16/3/2014,Android,31/1/2014,0,1,FALSE,50,1
21,3.31,5,,1,Astapor,29/4/2014,iPhone,1/9/2014,0,1,FALSE,100,1
22,11.47,5,,1,Winterfell,5/2/2014,iPhone,24/1/2014,0,0,FALSE,100,1
23,7.74,5,5,1,King's Landing,13/6/2014,Android,21/1/2014,0,0,TRUE,100,0
24,2.1,4.7,4.5,1.02,Astapor,18/5/2014,iPhone,19/1/2014,9.1,4,FALSE,36.4,1
25,14.48,5,,1,Winterfell,1/3/2014,iPhone,1/2/2014,0,1,TRUE,100,1
26,1.66,5,4,1,Astapor,22/1/2014,Android,16/1/2014,0,1,FALSE,100,1
27,3.05,5,5,1.05,Winterfell,3/5/2014,iPhone,19/1/2014,20,3,FALSE,100,1
28,5.97,5,,1.5,Winterfell,6/8/2014,iPhone,19/1/2014,100,0,FALSE,0,0
29,11.25,5,4,1,Astapor,27/2/2014,Android,27/1/2014,0,1,FALSE,100,1
30,6.12,4.8,5,1,Astapor,2/7/2014,iPhone,26/1/2014,0,4,TRUE,25,0
31,11.86,5,4.9,1,Winterfell,14/6/2014,iPhone,25/1/2014,0,1,FALSE,40,0
32,10.01,5,4,2,Winterfell,6/10/2014,iPhone,1/5/2014,100,1,FALSE,100,0
33,4.48,5,,1,Winterfell,28/2/2014,iPhone,27/1/2014,0,1,TRUE,100,1
34,4.12,5,,1.25,Astapor,17/1/2014,Android,16/1/2014,100,1,FALSE,100,1
35,14.16,5,5,1,King's Landing,21/2/2014,Android,17/1/2014,0,2,FALSE,100,1
36,2.43,4.5,,1,Astapor,25/6/2014,iPhone,21/1/2014,0,2,FALSE,50,0
37,1.38,5,4,1,Astapor,26/4/2014,iPhone,1/2/2014,0,0,FALSE,50,1
38,4.69,4.8,4.9,1.04,King's Landing,30/6/2014,iPhone,22/1/2014,5.8,24,TRUE,61.6,0
39,13.73,5,,1,King's Landing,23/6/2014,iPhone,1/9/2014,0,1,TRUE,100,0
40,0.83,5,4,1,Winterfell,2/1/2014,iPhone,31/1/2014,0,2,FALSE,50,1
41,3.8,5,4,1.88,Winterfell,5/10/2014,iPhone,18/1/2014,50,0,FALSE,0,0
42,5.72,5,4,1.5,Winterfell,26/1/2014,Android,25/1/2014,100,1,FALSE,0,1
43,16.52,5,4.5,1,Winterfell,17/3/2014,iPhone,13/1/2014,0,1,FALSE,50,1
44,1.4,5,5,1,King's Landing,18/6/2014,iPhone,22/1/2014,0,2,TRUE,66.7,0
45,3,4.2,4,1,Astapor,19/4/2014,Android,1/10/2014,0,3,FALSE,50,1
46,2.93,5,5,1.33,Astapor,22/1/2014,iPhone,20/1/2014,33.3,6,FALSE,100,1
47,3.61,5,5,1.25,Winterfell,19/1/2014,iPhone,18/1/2014,100,1,FALSE,0,1
48,1.75,4.8,4.8,1,Winterfell,28/1/2014,iPhone,1/4/2014,0,4,FALSE,100,1
49,10.54,4.7,4.4,1,Winterfell,19/6/2014,iPhone,1/4/2014,0,2,FALSE,71.4,0
50,3.25,5,5,1.25,Winterfell,15/2/2014,Android,1/4/2014,100,0,FALSE,0,1
51,3.24,5,4.5,1,Winterfell,5/2/2014,Android,1/2/2014,0,4,FALSE,52.4,1
52,4.98,5,5,1,Winterfell,6/1/2014,iPhone,1/12/2014,0,0,FALSE,80,1
53,3.15,4.8,4.4,1.56,Astapor,16/5/2014,iPhone,17/1/2014,22.2,6,TRUE,22.2,1
54,4.94,5,3.5,1.5,Winterfell,15/6/2014,iPhone,1/10/2014,50,2,FALSE,50,0
55,36.01,5,4,1,Winterfell,17/1/2014,iPhone,1/4/2014,0,1,FALSE,100,1
56,23.49,5,2.5,1,Astapor,29/4/2014,Android,1/9/2014,0,1,FALSE,100,1
57,10.21,5,4.3,1,Astapor,3/10/2014,Android,31/1/2014,0,0,FALSE,66.7,0
58,2.6,5,5,1,Astapor,20/4/2014,iPhone,1/5/2014,0,0,FALSE,40,1
59,6.05,4.5,5,1.25,Astapor,29/3/2014,iPhone,25/1/2014,100,1,FALSE,0,1
60,3.01,5,,1,Astapor,1/5/2014,iPhone,1/4/2014,0,1,TRUE,0,1
61,4.66,5,,1,Astapor,2/2/2014,iPhone,31/1/2014,0,1,FALSE,0,1
62,4.81,4.8,4.5,1.06,King's Landing,5/9/2014,iPhone,30/1/2014,25,0,FALSE,75,0
63,2.21,4.8,4.8,1.03,Astapor,29/6/2014,iPhone,29/1/2014,5.4,3,FALSE,54.1,0
64,6.12,5,,1.17,Astapor,5/4/2014,Android,1/11/2014,33.3,1,FALSE,66.7,1
65,10.37,5,5,1,Winterfell,19/3/2014,iPhone,20/1/2014,0,1,FALSE,75,1
66,2.42,5,5,1,Winterfell,28/1/2014,iPhone,1/7/2014,0,1,TRUE,100,1
67,1.89,5,5,1,Winterfell,13/6/2014,Android,18/1/2014,0,0,FALSE,100,0
68,4.44,5,5,1,King's Landing,15/6/2014,iPhone,1/1/2014,0,0,TRUE,0,0
69,2.61,4.8,3.9,1.09,Astapor,17/6/2014,iPhone,18/1/2014,10.5,5,TRUE,63.2,0
70,4.46,5,5,1,Astapor,23/4/2014,iPhone,1/8/2014,0,0,FALSE,100,1
71,1.02,5,5,1,Astapor,1/1/2014,Android,1/1/2014,0,1,FALSE,100,1
72,0,3,5,1,Astapor,1/8/2014,iPhone,1/7/2014,0,1,FALSE,100,0
73,37.11,5,5,1,Astapor,25/1/2014,iPhone,19/1/2014,0,2,FALSE,0,1
74,2.3,4.9,5,1.35,King's Landing,6/10/2014,iPhone,24/1/2014,36,7,FALSE,84,0
75,1.45,4,5,1,Winterfell,27/4/2014,Android,21/1/2014,0,0,FALSE,0,1
76,2.47,5,4.8,1,Astapor,30/1/2014,iPhone,26/1/2014,0,5,FALSE,100,1
77,19.8,5,,1,Astapor,2/3/2014,iPhone,1/1/2014,0,0,FALSE,100,1
78,1.82,4,5,1,Winterfell,20/4/2014,iPhone,23/1/2014,0,1,FALSE,0,1
79,10.49,5,5,1,Astapor,6/1/2014,Android,23/1/2014,0,0,TRUE,66.7,1
80,3.99,5,4,1.5,Astapor,5/3/2014,iPhone,1/12/2014,25,0,FALSE,50,1
81,17.89,4,4,3.5,Winterfell,2/5/2014,Android,25/1/2014,100,1,TRUE,100,1
82,4.61,4.8,4,1.11,Winterfell,20/6/2014,iPhone,1/6/2014,18.2,1,TRUE,81.8,0
83,2.6,4.7,4.8,1.03,King's Landing,29/6/2014,iPhone,1/3/2014,5.3,7,FALSE,63.2,0
84,5.01,5,4,1,Astapor,30/6/2014,iPhone,1/9/2014,0,0,TRUE,100,0
85,2.42,4.8,5,1,Winterfell,28/4/2014,iPhone,27/1/2014,0,4,FALSE,100,1
86,3.55,4.9,4.7,1.17,King's Landing,25/5/2014,iPhone,20/1/2014,25,9,TRUE,66.7,1
87,3.06,4.7,5,1,Winterfell,7/1/2014,iPhone,23/1/2014,0,6,TRUE,67.6,1
88,3.3,4.8,5,1,King's Landing,29/6/2014,iPhone,1/5/2014,0,3,FALSE,42.9,0
89,4.67,5,5,1,Astapor,18/5/2014,iPhone,19/1/2014,0,0,TRUE,0,1
90,6.28,,5,1,Winterfell,2/9/2014,iPhone,1/10/2014,0,1,FALSE,0,0
91,10.83,5,5,1,Astapor,26/6/2014,Android,18/1/2014,0,3,TRUE,50,0
92,1.55,4.5,3.7,1,Winterfell,27/6/2014,iPhone,1/2/2014,0,7,FALSE,55.2,0
93,1.13,4.4,4,1,Winterfell,28/5/2014,Android,1/5/2014,0,5,FALSE,80,1
94,23.34,4,1,1,Astapor,18/1/2014,iPhone,17/1/2014,0,1,TRUE,0,1
95,1.35,4,,1,Astapor,23/1/2014,iPhone,23/1/2014,0,1,TRUE,100,1
96,4.89,4.6,4.1,1,Winterfell,7/1/2014,iPhone,26/1/2014,1.9,11,TRUE,76.9,1
97,5.36,5,5,1,Astapor,1/11/2014,Android,1/7/2014,0,4,TRUE,75,0
98,4.2,5,4.3,1.02,King's Landing,19/6/2014,iPhone,18/1/2014,10,1,FALSE,90,0
99,2.86,4.9,4.9,1,Astapor,3/5/2014,Android,27/1/2014,0,73,TRUE,89.7,1
100,8.3,5,,1,Astapor,6/2/2014,iPhone,17/1/2014,0,0,FALSE,100,1
101,6.08,5,5,1.17,Astapor,25/5/2014,Android,18/1/2014,16.7,1,FALSE,33.3,1
102,2.15,4.9,4.2,1,King's Landing,25/6/2014,iPhone,31/1/2014,0,8,TRUE,50,0
103,6.86,4.9,4.4,1,Winterfell,22/6/2014,iPhone,30/1/2014,0,2,TRUE,50,0
104,4.08,4.9,3,1,Winterfell,28/6/2014,iPhone,1/1/2014,0,3,TRUE,63.6,0
105,4.99,5,5,1,Winterfell,23/6/2014,Android,20/1/2014,0,0,FALSE,0,0
106,1.63,5,,1,Astapor,4/6/2014,Android,1/4/2014,0,0,FALSE,0,0
107,10.79,4.9,4.9,1.09,King's Landing,29/6/2014,iPhone,1/7/2014,15.9,14,FALSE,50,0
108,9.14,5,3,1,Astapor,1/8/2014,iPhone,1/3/2014,0,1,FALSE,100,0
109,3.07,5,,1,Astapor,14/4/2014,Android,19/1/2014,0,1,FALSE,66.7,1
110,5.25,5,5,1,Astapor,6/11/2014,iPhone,25/1/2014,0,2,TRUE,50,0
111,3.81,5,4.7,1,King's Landing,17/6/2014,iPhone,1/9/2014,0,1,TRUE,100,0
112,2.65,5,4.8,1,Astapor,29/6/2014,iPhone,1/9/2014,0,1,TRUE,36.4,0
113,10.29,3.7,5,1,Winterfell,29/3/2014,Android,1/1/2014,0,1,FALSE,33.3,1
114,12.32,4.7,4.4,1.05,Winterfell,28/6/2014,Android,1/8/2014,9.1,1,FALSE,63.6,0
115,1.16,4.3,4,1,Astapor,4/9/2014,iPhone,1/7/2014,0,0,FALSE,100,0
116,0,5,5,1,Winterfell,1/11/2014,Android,1/10/2014,0,1,FALSE,100,0
117,2.64,5,2.5,1.63,Astapor,17/4/2014,iPhone,1/10/2014,50,1,FALSE,100,1
118,16.85,5,5,1,Winterfell,6/10/2014,iPhone,14/1/2014,0,0,TRUE,85.7,0
119,4.14,5,,2.5,Astapor,1/12/2014,Android,1/11/2014,100,1,FALSE,0,0
120,2.67,4.9,4.3,1.06,Astapor,23/5/2014,Android,15/1/2014,11.1,3,TRUE,88.9,1
121,5.55,4.8,4.9,1,Winterfell,15/6/2014,iPhone,1/7/2014,0,2,TRUE,41.2,0
122,1.58,5,5,1,King's Landing,23/6/2014,iPhone,17/1/2014,0,0,FALSE,0,0
123,1.78,5,5,1,Astapor,4/3/2014,Android,25/1/2014,0,0,TRUE,33.3,1
124,6.1,4.8,5,1,Winterfell,6/5/2014,iPhone,21/1/2014,0,0,TRUE,100,1
125,8.14,4.6,4.4,1.32,Winterfell,16/3/2014,iPhone,1/10/2014,20,0,TRUE,90,1
126,6.04,4.5,5,1,Astapor,17/1/2014,Android,16/1/2014,0,2,FALSE,100,1
127,2.92,5,4,1.38,Winterfell,28/6/2014,Android,19/1/2014,50,2,TRUE,0,0
128,2.81,4.3,4.8,1.3,Astapor,20/4/2014,iPhone,26/1/2014,20,0,FALSE,20,1
129,2,5,5,1,Winterfell,1/12/2014,iPhone,1/11/2014,0,3,FALSE,0,0
130,7.4,5,4.5,1,Astapor,25/5/2014,Android,31/1/2014,0,0,TRUE,0,1
131,1.2,4,5,1,Astapor,27/3/2014,Android,1/12/2014,0,0,FALSE,100,1
132,2.64,5,5,1,King's Landing,6/6/2014,iPhone,25/1/2014,0,0,TRUE,100,0
133,3.33,4.8,3.8,1.06,Winterfell,30/6/2014,iPhone,1/10/2014,25,2,TRUE,37.5,0
134,2.88,5,5,1,King's Landing,6/11/2014,,1/10/2014,0,0,FALSE,100,0
135,1.99,5,,1.75,Winterfell,18/1/2014,iPhone,17/1/2014,100,1,FALSE,100,1
136,3.22,4.5,4.9,1,Winterfell,28/6/2014,iPhone,19/1/2014,0,4,FALSE,43.8,0
137,13.78,5,5,1,Winterfell,1/3/2014,iPhone,1/2/2014,0,1,FALSE,100,1
138,8.2,5,,1,Astapor,31/5/2014,iPhone,1/7/2014,0,0,TRUE,0,1
139,10.47,4.6,4.4,1,King's Landing,13/6/2014,iPhone,18/1/2014,0,4,TRUE,45.5,0
140,2.27,5,5,1,King's Landing,6/8/2014,iPhone,18/1/2014,0,2,TRUE,16.7,0
141,1.68,4.7,3.8,1.06,Winterfell,25/5/2014,Android,1/1/2014,8.3,3,FALSE,41.7,1
142,3.57,4.8,4.5,1.1,King's Landing,25/6/2014,iPhone,26/1/2014,10,1,TRUE,10,0
143,11.63,4.8,5,1,King's Landing,23/6/2014,iPhone,17/1/2014,0,2,FALSE,40,0
144,0.95,5,5,1,Winterfell,21/6/2014,iPhone,16/1/2014,0,0,TRUE,100,0
145,4.86,4.7,5,1.03,King's Landing,24/6/2014,iPhone,1/4/2014,2.3,11,TRUE,57.5,0
146,4.97,5,5,1,Winterfell,28/3/2014,iPhone,14/1/2014,0,0,TRUE,100,1
147,5.44,4.6,3.7,1.09,Winterfell,7/1/2014,iPhone,25/1/2014,3.8,7,FALSE,57.7,1
148,2.64,5,,1,Winterfell,21/5/2014,iPhone,1/11/2014,0,0,FALSE,100,1
149,3.42,5,4.8,1.21,Astapor,29/6/2014,iPhone,1/10/2014,21.4,0,TRUE,28.6,0
150,1.64,4.8,4.5,1.14,King's Landing,16/6/2014,iPhone,1/5/2014,22.9,10,FALSE,62.9,0
151,4.43,4.7,5,1.17,Winterfell,28/6/2014,iPhone,18/1/2014,33.3,0,FALSE,66.7,0
152,4.01,5,5,1,Winterfell,24/5/2014,iPhone,31/1/2014,0,0,TRUE,0,1
153,2.1,4.4,4,1,Winterfell,4/10/2014,iPhone,21/1/2014,0,2,TRUE,50,0
154,7.63,5,5,1,Winterfell,25/1/2014,iPhone,24/1/2014,0,2,TRUE,50,1
155,1.89,4.5,4.5,1,Winterfell,2/2/2014,iPhone,31/1/2014,0,4,FALSE,0,1
156,3.18,5,4,1,Winterfell,27/1/2014,Android,26/1/2014,0,1,FALSE,100,1
157,3.72,5,5,1,Winterfell,18/5/2014,Android,20/1/2014,0,1,FALSE,20,1
158,3.8,4.7,5,1,Astapor,28/3/2014,iPhone,1/11/2014,0,0,FALSE,100,1
159,18.03,5,5,1,Astapor,19/1/2014,Android,1/12/2014,0,1,FALSE,0,1
160,2.92,4.7,5,1,Astapor,6/1/2014,iPhone,14/1/2014,0,1,TRUE,30,1
161,2.03,4.7,4.9,1,King's Landing,25/6/2014,iPhone,1/12/2014,0,0,TRUE,42.9,0
162,12.6,5,5,1,Astapor,1/4/2014,iPhone,1/4/2014,0,1,FALSE,0,1
163,2.86,5,5,1,King's Landing,20/6/2014,iPhone,31/1/2014,0,2,TRUE,42.9,0
164,18.57,5,5,1,King's Landing,28/6/2014,Android,1/5/2014,0,5,TRUE,100,0
165,1.5,3.5,5,1.63,Astapor,1/12/2014,iPhone,1/11/2014,100,2,FALSE,0,0
166,2.36,5,,1,Winterfell,1/7/2014,Android,1/6/2014,0,1,FALSE,100,0
167,1.73,5,5,1,Winterfell,22/2/2014,Android,20/1/2014,0,0,FALSE,100,1
168,3.37,3.5,5,1,Astapor,31/1/2014,Android,30/1/2014,0,2,FALSE,100,1
169,2.11,5,1,1,Winterfell,14/3/2014,iPhone,24/1/2014,0,0,TRUE,100,1
170,5.45,5,,1,Astapor,17/6/2014,iPhone,1/9/2014,0,0,FALSE,100,0
171,2.2,5,4,1,Winterfell,15/1/2014,iPhone,14/1/2014,0,1,FALSE,100,1
172,3.88,5,5,1,Winterfell,4/6/2014,Android,31/1/2014,0,1,FALSE,50,0
173,9.77,5,2,1,Astapor,15/1/2014,Android,1/7/2014,0,1,FALSE,100,1
174,1.75,5,4.5,1,Astapor,4/6/2014,Android,25/1/2014,0,3,TRUE,0,0
175,3.56,5,4,1.25,King's Landing,18/1/2014,iPhone,17/1/2014,100,1,FALSE,100,1
176,20.32,5,5,1,Astapor,18/3/2014,,28/1/2014,0,0,FALSE,100,1
177,14.37,5,5,1,King's Landing,19/4/2014,iPhone,1/5/2014,0,0,FALSE,75,1
178,4.46,2,4,1,Astapor,25/2/2014,iPhone,30/1/2014,0,1,FALSE,100,1
179,12.52,5,4,1,Astapor,27/1/2014,iPhone,15/1/2014,0,1,FALSE,100,1
180,4.2,4.6,3.9,1.02,Astapor,13/6/2014,iPhone,1/2/2014,3.5,2,FALSE,69,0
181,2.74,4,3,1,Winterfell,17/3/2014,Android,28/1/2014,0,1,TRUE,0,1
182,18.15,5,,1,Winterfell,5/6/2014,iPhone,1/1/2014,0,0,TRUE,100,0
183,7.54,5,5,1,King's Landing,1/5/2014,iPhone,1/4/2014,0,1,FALSE,0,1
184,10.16,5,5,1,Winterfell,25/5/2014,iPhone,15/1/2014,0,0,TRUE,75,1
185,26.9,5,,1,Winterfell,26/1/2014,Android,1/1/2014,0,1,TRUE,0,1
186,3.15,3.8,5,1.05,King's Landing,6/8/2014,iPhone,1/1/2014,20,1,FALSE,20,0
187,4.54,5,5,1,Winterfell,19/1/2014,iPhone,19/1/2014,0,1,FALSE,0,1
188,0,5,,1,Winterfell,14/1/2014,Android,1/11/2014,0,1,FALSE,100,1
189,8.91,5,5,1,Winterfell,23/6/2014,iPhone,1/11/2014,0,2,TRUE,33.3,0
190,10.37,4,4,1.25,Winterfell,17/5/2014,Android,23/1/2014,50,0,FALSE,75,1
191,1.34,5,,1,Winterfell,29/1/2014,Android,29/1/2014,0,1,FALSE,100,1
192,4.42,4.5,4.5,1,Winterfell,25/6/2014,iPhone,25/1/2014,0,3,TRUE,20,0
193,5.99,3,5,1,Winterfell,16/1/2014,iPhone,1/12/2014,0,4,FALSE,100,1
194,1.78,5,5,1.04,King's Landing,21/6/2014,iPhone,1/9/2014,14.3,0,TRUE,42.9,0
195,1.27,5,5,1,Winterfell,21/2/2014,iPhone,29/1/2014,0,1,FALSE,100,1
196,8,4.8,4,1,Winterfell,6/11/2014,iPhone,27/1/2014,0,3,TRUE,62.5,0
197,3.75,5,3.7,2.25,Winterfell,3/2/2014,iPhone,1/8/2014,66.7,0,FALSE,33.3,1
198,1.38,4,5,2,Winterfell,3/3/2014,iPhone,26/1/2014,50,1,FALSE,0,1
199,4.58,5,5,1,Winterfell,16/5/2014,iPhone,16/1/2014,0,0,FALSE,100,1
200,2.34,4.6,4.6,1.02,Winterfell,29/6/2014,iPhone,1/11/2014,2.7,22,TRUE,83.8,0
201,27.32,5,5,1,King's Landing,27/6/2014,iPhone,17/1/2014,0,1,FALSE,100,0
202,2.5,4.5,4.6,1,Winterfell,20/5/2014,iPhone,27/1/2014,0,2,FALSE,57.1,1
203,6.87,5,4.5,1.2,King's Landing,29/6/2014,iPhone,1/12/2014,26.1,2,TRUE,52.2,0
204,5.28,5,5,1,Winterfell,5/12/2014,iPhone,1/6/2014,0,0,FALSE,66.7,0
205,2.09,5,5,1,Astapor,27/5/2014,iPhone,1/9/2014,0,0,TRUE,100,1
206,3.69,5,5,1,Winterfell,18/6/2014,iPhone,22/1/2014,0,0,FALSE,100,0
207,2.52,5,5,1,Astapor,26/1/2014,Android,19/1/2014,0,3,FALSE,0,1
208,14.93,5,,1,Winterfell,26/1/2014,iPhone,24/1/2014,0,1,FALSE,0,1
209,11.78,5,5,1,Astapor,5/9/2014,Android,1/6/2014,0,0,FALSE,100,0
210,16.88,3,5,1,Winterfell,14/5/2014,iPhone,14/1/2014,0,0,FALSE,100,1
211,2.34,5,5,1,King's Landing,29/6/2014,iPhone,17/1/2014,0,0,FALSE,0,0
212,0.89,3,5,1,Winterfell,2/10/2014,iPhone,1/10/2014,0,0,FALSE,100,0
213,3.07,5,5,1,Winterfell,19/1/2014,Android,18/1/2014,0,1,FALSE,0,1
214,3.81,4.9,4.3,1.04,Astapor,20/6/2014,iPhone,18/1/2014,7.1,7,FALSE,57.1,0
215,19.77,4,,1,Winterfell,24/1/2014,iPhone,24/1/2014,0,1,TRUE,100,1
216,2.7,4.5,4.5,1.5,King's Landing,27/6/2014,Android,1/11/2014,50,0,FALSE,50,0
217,2.66,4.3,4.7,1,Winterfell,28/6/2014,iPhone,1/6/2014,0,8,TRUE,72.2,0
218,2.6,5,5,1.75,Winterfell,16/2/2014,Android,20/1/2014,100,1,FALSE,0,1
219,12.21,5,,1,King's Landing,14/6/2014,Android,28/1/2014,0,0,TRUE,100,0
220,2.34,4.8,4.9,1.04,Winterfell,29/6/2014,iPhone,19/1/2014,7.7,6,FALSE,0,0
221,10.61,5,4.3,1.13,Winterfell,18/5/2014,Android,25/1/2014,25,1,TRUE,25,1
222,7.89,5,,1,King's Landing,31/3/2014,iPhone,18/1/2014,0,0,FALSE,0,1
223,5.31,5,,1,Astapor,5/5/2014,iPhone,29/1/2014,0,2,FALSE,100,1
224,1.69,5,4.6,1,Winterfell,29/6/2014,Android,18/1/2014,0,0,FALSE,40,0
225,5.04,4.9,4.8,1,Astapor,28/6/2014,iPhone,24/1/2014,0,3,TRUE,39.1,0
226,6.8,5,5,1,King's Landing,28/6/2014,iPhone,24/1/2014,0,0,FALSE,100,0
227,17.87,5,5,1,Winterfell,22/5/2014,iPhone,1/6/2014,0,0,TRUE,100,1
228,24.43,5,5,1,Astapor,17/5/2014,Android,18/1/2014,0,1,TRUE,0,1
229,2.69,4.7,5,1.04,King's Landing,30/6/2014,iPhone,25/1/2014,4.9,2,FALSE,46.3,0
230,18.61,2,1,1,Winterfell,1/6/2014,iPhone,1/6/2014,0,1,TRUE,100,0
231,9.31,4,,1,Winterfell,6/12/2014,iPhone,28/1/2014,0,1,TRUE,100,0
232,7.17,4.3,5,1,Winterfell,29/6/2014,iPhone,19/1/2014,0,4,TRUE,45.5,0
233,12.96,5,5,1,Winterfell,30/4/2014,Android,1/5/2014,0,0,FALSE,100,1
234,10.68,5,,1,Winterfell,26/3/2014,iPhone,24/1/2014,0,0,FALSE,100,1
235,1.62,5,4,1,Winterfell,29/6/2014,Android,1/1/2014,0,0,TRUE,42.9,0
236,7.6,5,4.5,1,Astapor,16/4/2014,iPhone,24/1/2014,0,1,FALSE,100,1
237,1.53,4.8,5,1.09,King's Landing,28/6/2014,iPhone,26/1/2014,18.2,6,FALSE,45.5,0
238,5.72,5,,1,Astapor,18/1/2014,Android,18/1/2014,0,1,FALSE,0,1
239,16.19,4.3,5,1,Astapor,21/6/2014,iPhone,26/1/2014,0,2,FALSE,33.3,0
240,3.28,5,5,1,Astapor,26/5/2014,iPhone,1/10/2014,0,0,FALSE,100,1
241,12.45,4.8,,1,King's Landing,16/6/2014,Android,20/1/2014,0,2,FALSE,100,0
242,6.46,4.9,4.4,1,Astapor,26/6/2014,iPhone,25/1/2014,0,5,TRUE,87.5,0
243,5.05,4.3,5,1.13,Winterfell,18/5/2014,iPhone,1/1/2014,25,0,FALSE,25,1
244,13.83,4.8,4.5,1.08,Astapor,16/5/2014,iPhone,22/1/2014,16.7,2,TRUE,83.3,1
245,3.42,5,4,1,Astapor,1/9/2014,Android,1/8/2014,0,1,FALSE,100,0
246,3.04,5,5,1.38,Winterfell,5/4/2014,iPhone,30/1/2014,50,0,FALSE,50,1
247,17.04,5,,1,Winterfell,27/3/2014,iPhone,1/11/2014,0,0,TRUE,100,1
248,19.07,5,4.5,1,Winterfell,21/6/2014,iPhone,26/1/2014,0,1,FALSE,50,0
249,1.13,5,5,1,King's Landing,1/9/2014,Android,1/8/2014,0,2,FALSE,100,0
250,2.82,4,,1.13,Astapor,28/3/2014,Android,1/4/2014,50,1,TRUE,50,1
251,8.09,5,5,1,Winterfell,3/3/2014,iPhone,26/1/2014,0,2,FALSE,100,1
252,3.34,5,,1.15,King's Landing,25/6/2014,iPhone,24/1/2014,20,1,TRUE,100,0
253,20.03,5,,1,King's Landing,6/1/2014,Android,1/1/2014,0,0,FALSE,0,1
254,5.38,5,,1,Astapor,17/1/2014,iPhone,16/1/2014,0,1,FALSE,100,1
255,10.73,5,5,1,Astapor,18/1/2014,iPhone,17/1/2014,0,1,FALSE,0,1
256,17.63,5,5,1,Winterfell,24/4/2014,iPhone,1/3/2014,0,0,FALSE,100,1
257,6.2,3,3,1,Winterfell,1/11/2014,Android,1/10/2014,0,1,TRUE,100,0
258,4.56,4.9,2.7,1,Astapor,19/5/2014,iPhone,19/1/2014,0,0,TRUE,45.5,1
259,2.99,4.3,4.2,1,Winterfell,23/6/2014,iPhone,17/1/2014,0,4,TRUE,45.5,0
260,3.56,5,5,1,Winterfell,26/6/2014,iPhone,1/10/2014,0,2,FALSE,87.5,0
261,1.59,5,5,1,Winterfell,6/11/2014,iPhone,1/11/2014,0,0,TRUE,100,0
262,0.68,5,4,1,Winterfell,1/9/2014,iPhone,1/8/2014,0,2,FALSE,100,0
263,9.15,5,4.3,1,King's Landing,2/10/2014,Android,31/1/2014,0,3,TRUE,66.7,0
264,5.76,5,4.5,1,Astapor,4/6/2014,iPhone,1/1/2014,0,5,FALSE,44.4,0
265,3.19,4.7,4.6,1,Winterfell,27/6/2014,iPhone,18/1/2014,0,5,TRUE,55.6,0
266,0.7,4.7,4,1,Winterfell,17/1/2014,Android,16/1/2014,0,3,TRUE,100,1
267,7.69,5,5,1.25,Winterfell,5/11/2014,iPhone,24/1/2014,25,0,FALSE,0,0
268,1.86,4.5,5,1,Winterfell,22/6/2014,iPhone,25/1/2014,0,0,TRUE,37.5,0
